Mineprep:0.5 | 时间戳1789889184.6354427,中文,English,繁體中文,,,"② *生成器过滤类型{1:'👤', 2:'🟩' , 3:'🟥', 4:'🟨', 5:'🌊', 6:'📸', 7:'💡', 8:'👪', 9:'✨', 10:'🧱', 11:'𝓕', 12:'🔧'}",<2:放置生物>,<2:Mobs>,<2:放置生物>,,,,③,<3:预设素材>,<3:Preset>,<3:預設素材>,,,④,<4:附加组件>,<4:Attach>,<4:附加組件>,,,⑤,<5:枚举选项>,<5:Enum Options>,<5:枚舉選項>,,,,⑥,<6:放置方块>,<6:Blocks>,<6:放置方塊>,,,,⑦,<7:放置物品>,<7:Items>,<7:放置物品>
10,植物摇摆,Sway,植物搖擺,,,🟩,尸壳,Husk,屍殼,,,,✨🌊,下雪粒子,Snow Particles,下雪粒子,,,💡,局部调色遮罩(2D),Color Correction Window(2D),局部調色遮罩(2D),,,,,,,,,,👤🟩,金合欢木门 [顶部右打开],acacia_door_top_right_open,相思木門 [頂部右打開],,,,🟩,犰狳鳞甲,armadillo_scute,犰狳鱗甲
11,应用所选参数,Apply Selected Params,套用所選參數,,,🟩👤,尸壳 [NPC],Husk [NPC],屍殼 [NPC],,,,✨,爆炸粒子,Explosion Particles,爆炸粒子,,,💡,局部调色区域(3D),Color Correction Region(3D),局部調色區域(3D),,,,,,,,,,👤🟩,金合欢木栅栏门,acacia_fence_gate,相思木閘門 (相思木柵欄門),,,,👤🟩,犰狳刷怪蛋,armadillo_spawn_egg,犰狳生成蛋 (犰狳生怪蛋)
12,按动态材质等级过滤参数,Filter params based on dynamic level,按動態材質等級過濾參數,,,🟩🌊,溺尸,Drowned,溺屍(沉屍),,,,👤,软体史蒂夫,Soft Body Steve,軟體史蒂夫,,,🔧,绑定父级至最后选中项,Set Parent to the last selected one,綁定父級至最後選中項,,,,,,,,,,👤🟩,金合欢木栅栏门 [打开],acacia_fence_gate_open,相思木閘門 (相思木柵欄門) [打開],,,,👤🟩,盔甲架,armor_stand,盔甲座
13,加载预设 :,Load Preset :,加載預設：,,,🟩🌊👤,溺尸 [NPC],Drowned [NPC],溺屍(沉屍) [NPC],,,,🔧,MC像素文字,MC Pixel Text,MC像素文字,,,✨𝓕,粒子/材质力场,Particle/Matertial Force Field,粒子/材質力場,,,,,,,,,,👤🟩,金合欢木栅栏门 [墙上],acacia_fence_gate_wall,相思木閘門 (相思木柵欄門) [牆上],,,,👤🟩,举臂纹样陶片,arms_up_pottery_sherd,舉臂陶罐碎片 (人形陶器碎片)
14,倍率,Mult,倍率,,,🟥,猪灵,Piglin,豬人(豬布林),,,,📸,同步玩家摄像机,Sync Player Camera,同步玩家攝像機,,,🔧✨,动态设计效应器,Motion Design Effector,動態設計效應器,,,,,,,,,,👤🟩,金合欢木栅栏门 [墙上打开],acacia_fence_gate_wall_open,相思木閘門 (相思木柵欄門) [牆上打開],,,,🟩,箭,arrow,箭 (箭矢)
15,打开输出文件夹,Open Output Folder,打開輸出資料夾,,,🟥👤,猪灵 [NPC],Piglin [NPC],豬人(豬布林) [NPC],,,,💡,丁达尔体积光,God Rays Light,丁達爾體積光,,,🔧,简单倒角覆层材质,Simple Bevel Overlay Material,簡單倒角覆層材質,,,,,,,,,,👤🟩,金合欢木栅栏 [物品栏],acacia_fence_inventory,相思木欄杆 (相思木柵欄) [物品欄],,,,👤🌊,美西螈桶,axolotl_bucket,墨西哥蠑螈桶 (六角恐龍桶)
16,输出图片序列帧格式,Image sequence :,輸出圖片序列幀格式,,,🟥,猪灵蛮兵,Piglin Brute,殘暴豬人(豬布林蠻兵),,,,💡,动态体积雾,Dynamic Volumetric Fog,動態體積霧,,,🔧,简单跟随路径运动控制器,Simple Follow Path Controller,簡單跟隨路徑運動控制器,,,,,,,,,,👤🟩,金合欢木栅栏 [柱],acacia_fence_post,相思木欄杆 (相思木柵欄) [柱],,,,👤🟩,美西螈刷怪蛋,axolotl_spawn_egg,墨西哥蠑螈生成蛋 (六角恐龍生怪蛋)
17,分辨率,Resolution,分辨率,,,🟥👤,猪灵蛮兵 [NPC],Piglin Brute [NPC],殘暴豬人(豬布林蠻兵) [NPC],,,,📸,导轨摄像机,Rail Camera,導軌攝像機,,,🔧,摇晃振动弹跳轨道,Shake/Vibrate/Bounce Track,搖晃振動彈跳軌道,,,,,,,,,,👤🟩,金合欢木栅栏 [边],acacia_fence_side,相思木欄杆 (相思木柵欄) [邊],,,,🟩,烤马铃薯,baked_potato,焗薯仔 (烤馬鈴薯)
18,采样数,Samples,採樣數,,,🟩,卫道士,Vindicator,衛道士,,,,✨𝓕,粒子交互场,Particle Interaction Field,粒子交互場,,,🔧,空物体,Null Object,空物體,,,,,,,,,,👤🟩,悬挂式金合欢木告示牌 [附着旋转0],acacia_hanging_sign_attached_rot_0,相思木吊牌 (懸掛式相思木告示牌) [附著旋轉0],,,,🟩,竹子,bamboo,竹 (竹子)
19,空间x时间,Spatial x Temporal,空間x時間,,,🟩👤,卫道士 [NPC],Vindicator [NPC],衛道士 [NPC],,,,🧱,堆放方块,Pile Up Blocks,堆放方塊,,,,,,,,,,,,,,,,👤🟩,悬挂式金合欢木告示牌 [附着旋转1],acacia_hanging_sign_attached_rot_1,相思木吊牌 (懸掛式相思木告示牌) [附著旋轉1],,,,👤🟩🌊,运输竹筏,bamboo_chest_raft,儲物箱竹筏
20,色彩管理,Color space,色彩管理,,,🟩,掠夺者,Pillager,掠奪者,,,,🧱👪🟩,背景生物散布器,Background Animal Scatter,背景生物散佈器,,,,,,,,,,,,,,,,👤🟩,悬挂式金合欢木告示牌 [附着旋转2],acacia_hanging_sign_attached_rot_2,相思木吊牌 (懸掛式相思木告示牌) [附著旋轉2],,,,👤🟩,竹门,bamboo_door,竹門
21,全景渲染,VR panorama render,全景渲染,,,🟩👤,掠夺者 [NPC],Pillager [NPC],掠奪者 [NPC],,,,📸,MC摄像机,MC Camera,MC攝像機,,,,,,,,,,,,,,,,👤🟩,悬挂式金合欢木告示牌 [附着旋转3],acacia_hanging_sign_attached_rot_3,相思木吊牌 (懸掛式相思木告示牌) [附著旋轉3],,,,👤🟩,悬挂式竹告示牌,bamboo_hanging_sign,竹吊牌 (懸掛式竹告示牌)
22,输出视频,Output a video,輸出視頻,,,🟩,骷髅,Skeleton,骷髏,,,,✨,礼花粒子,Confetti Particles,禮花粒子,,,,,,,,,,,,,,,,👤🟩,悬挂式金合欢木告示牌 [旋转0],acacia_hanging_sign_rot_0,相思木吊牌 (懸掛式相思木告示牌) [旋轉0],,,,👤🟩🌊,竹筏,bamboo_raft,竹筏
23,视频编码,Encoder,視頻編碼,,,🟩👤,骷髅 [NPC],Skeleton [NPC],骷髏 [NPC],,,,💡,局部调色遮罩(2D),Color Correction Window(2D),局部調色遮罩(2D),,,,,,,,,,,,,,,,👤🟩,悬挂式金合欢木告示牌 [旋转1],acacia_hanging_sign_rot_1,相思木吊牌 (懸掛式相思木告示牌) [旋轉1],,,,👤🟩,竹告示牌,bamboo_sign,竹指示牌 (竹告示牌)
24,硬件加速,Hardware,硬件加速,,,🟥,凋灵骷髅,Wither Skeleton,凋零骷髏,,,,💡,局部调色区域(3D),Color Correction Region(3D),局部調色區域(3D),,,,,,,,,,,,,,,,👤🟩,悬挂式金合欢木告示牌 [旋转2],acacia_hanging_sign_rot_2,相思木吊牌 (懸掛式相思木告示牌) [旋轉2],,,,🟩,屏障,barrier,屏障
25,色度抽样,Color codec,色度抽樣,,,🟥👤,凋灵骷髅 [NPC],Wither Skeleton [NPC],凋零骷髏 [NPC],,,,✨👪🟩,蜘蛛群粒子,Spider Swarm Particles,蜘蛛群粒子,,,,,,,,,,,,,,,,👤🟩,悬挂式金合欢木告示牌 [旋转3],acacia_hanging_sign_rot_3,相思木吊牌 (懸掛式相思木告示牌) [旋轉3],,,,👤🟩,蝙蝠刷怪蛋,bat_spawn_egg,蝙蝠生成蛋 (蝙蝠生怪蛋)
26,编码质量,Codec Quality,編碼質量,,,🟩,流浪者,Stray,流浪者(流髑),,,,✨👪🟩,虫群粒子(蠹虫),Silverfish Swarm Particles,蟲群粒子(蠹魚),,,,,,,,,,,,,,,,🟩,金合欢树叶,acacia_leaves,相思木樹葉,,,,👤🟩,蜜蜂刷怪蛋,bee_spawn_egg,蜜蜂生成蛋 (蜜蜂生怪蛋)
27,是HDR视频,HDR video,是HDR視頻,,,🟩👤,流浪者 [NPC],Stray [NPC],流浪者(流髑) [NPC],,,,✨👪🟨,虫群粒子(末影螨),Endermite Swarm Particles,蟲群粒子(終界蟎),,,,,,,,,,,,,,,,🟩,金合欢原木,acacia_log,相思木原木,,,,🟩,生牛肉,beef,生牛肉
28,更新渲染配置,Update Config,更新渲染配置,,,🟩,沼骸,Bogged,沼骨(沼骸),,,,𝓕,径向力 (全局扩展),Radial Force (+World Field),徑向力 (全局擴展),,,,,,,,,,,,,,,,🟩,金合欢原木 [水平],acacia_log_horizontal,相思木原木 [水平],,,,🟩,甜菜根,beetroot,紅菜頭 (甜菜根)
29,附魔,Enchant,附魔,,,🟩👤,沼骸 [NPC],Bogged [NPC],沼骨(沼骸) [NPC],,,,🧱🔧,距离场碰撞箱包裹器,SDF Collision Wrapper,距離場碰撞箱包裹器,,,,,,,,,,,,,,,,👤🟩,金合欢木板,acacia_planks,相思木板 (相思木材),,,,🟩,甜菜种子,beetroot_seeds,紅菜頭種子 (甜菜種子)
30,祛魔,Disenchant,祛魔,,,🟩,猪,Pig,豬,,,,✨,灰尘粒子,Dust Particles,灰塵粒子,,,,,,,,,,,,,,,,👤🟩,金合欢木压力板,acacia_pressure_plate,相思木壓力板,,,,🟩,甜菜汤,beetroot_soup,紅菜頭湯 (甜菜湯)
31,时间 (h),Time (h),時間 (h),,,🟩👤,猪 [NPC],Pig [NPC],豬 [NPC],,,,🧱👪🟩,观众人群散布器,Spectator Crowd Scatter,觀衆人群散佈器,,,,,,,,,,,,,,,,👤🟩,金合欢木压力板 [按下],acacia_pressure_plate_down,相思木壓力板 [按下],,,,👤🟩,钟,bell,鐘
32,太阳角度,Sun angle,太陽角度,,,🟩,马,Horse,馬,,,,🔧,遮罩层,Mask Layer,遮罩層,,,,,,,,,,,,,,,,🟩,金合欢树苗,acacia_sapling,相思木樹苗,,,,👤🟩🌊,白桦木船,birch_boat,樺木船
33,颜色,Color,顏色,,,🟩👤,马 [NPC],Horse [NPC],馬 [NPC],,,,📸,媒体抠像播放器,Media Keying Player,媒體摳像播放器,,,,,,,,,,,,,,,,👤🟩,金合欢木展示架,acacia_shelf,相思木置物架 (相思木展示架),,,,👤🟩🌊,白桦木运输船,birch_chest_boat,儲物箱樺木船
34,速度,Speed,速度,,,👤,Alex 长发大眼睛高级NPC,Alex (Hair&eyes) Advanced NPC,Alex 長髮大眼睛高級NPC,,,,🧱👪📸,媒体抠像散布器,Media Keying Scatter,媒體摳像散佈器,,,,,,,,,,,,,,,,👤🟩,金合欢木展示架 [中],acacia_shelf_center,相思木置物架 (相思木展示架) [中],,,,👤🟩,白桦木门,birch_door,樺木門
35,缩放,Scale,縮放,,,👤,拖拽布偶史蒂夫,Dragging Ragdoll Steve,拖拽布偶史蒂夫,,,,✨👪📸,媒体抠像粒子,Media Keying Particles,媒體摳像粒子,,,,,,,,,,,,,,,,👤🟩,金合欢木展示架 [物品栏],acacia_shelf_inventory,相思木置物架 (相思木展示架) [物品欄],,,,👤🟩,悬挂式白桦木告示牌,birch_hanging_sign,樺木吊牌 (懸掛式樺木告示牌)
36,对比度,Contrast,對比度,,,🟩,铁傀儡,Iron Golem,鐵魔像(鐵巨人),,,,🔧,空物体,Empty Control,空物體,,,,,,,,,,,,,,,,👤🟩,金合欢木展示架 [左],acacia_shelf_left,相思木置物架 (相思木展示架) [左],,,,👤🟩,白桦木告示牌,birch_sign,樺木指示牌 (樺木告示牌)
37,自定义帧率,Custom FPS,自定義幀率,,,🟩👤,铁傀儡 [NPC],Iron Golem [NPC],鐵魔像(鐵巨人) [NPC],,,,📸,监控摄像机,Monitor Camera,監控攝像機,,,,,,,,,,,,,,,,👤🟩,金合欢木展示架 [右],acacia_shelf_right,相思木置物架 (相思木展示架) [右],,,,👤🟩,黑色收纳袋,black_bundle,黑色收納袋 (黑色束口袋)
38,输出名称,File Name,輸出名稱,,,🟩,牛,Cow,牛,,,,🟩,营火,Campfire,營火,,,,,,,,,,,,,,,,👤🟩,金合欢木展示架 [未连接],acacia_shelf_unconnected,相思木置物架 (相思木展示架) [未連接],,,,👤🟩,黑色收纳袋 [打开背面],black_bundle_open_back,黑色收納袋 (黑色束口袋) [打開背面]
39,启用碰撞,Collision,啟用碰撞,,,🟩👤,牛 [NPC],Cow [NPC],牛 [NPC],,,,✨,营火烟雾粒子,Campfire Smoke Particles,營火烟霧粒子,,,,,,,,,,,,,,,,👤🟩,金合欢木展示架 [未充能],acacia_shelf_unpowered,相思木置物架 (相思木展示架) [未充能],,,,👤🟩,黑色收纳袋 [打开正面],black_bundle_open_front,黑色收納袋 (黑色束口袋) [打開正面]
40,自发光,Glow,自發光,,,🟩,羊,Sheep,羊,,,,✨,爆装备粒子,Loot Drop Particles,爆裝備粒子,,,,,,,,,,,,,,,,👤🟩,金合欢木告示牌 [旋转0],acacia_sign_rot_0,相思木指示牌 (相思木告示牌) [旋轉0],,,,👤🟩,黑色蜡烛,black_candle,黑色蠟燭
41,照明强度,Illuminance,照明強度,,,🟩👤,羊 [NPC],Sheep [NPC],羊 [NPC],,,,✨,爱心粒子,Breeding-Heart Particles,愛心粒子,,,,,,,,,,,,,,,,👤🟩,金合欢木告示牌 [旋转1],acacia_sign_rot_1,相思木指示牌 (相思木告示牌) [旋轉1],,,,👤🟩,黑色染料,black_dye,黑色染料
42,自身亮度,Self-brightness,自身亮度,,,🟩,蠹虫,Silverfish,蠹魚,,,,✨,喷溅药水粒子,Splash Potion Particles,飛濺藥水粒子,,,,,,,,,,,,,,,,👤🟩,金合欢木告示牌 [旋转2],acacia_sign_rot_2,相思木指示牌 (相思木告示牌) [旋轉2],,,,👤🟩,黑色挽具,black_harness,黑色牽引器具 (黑色帽鞍)
43,灯光排除,Light Linking,燈光排除,,,🟨,末影螨,Endermite,終界蟎,,,,🔧,UI界面编辑器,UI Editor,UI界面編輯器,,,,,,,,,,,,,,,,👤🟩,金合欢木告示牌 [旋转3],acacia_sign_rot_3,相思木指示牌 (相思木告示牌) [旋轉3],,,,👤🟩,利刃纹样陶片,blade_pottery_sherd,利刃陶罐碎片 (利刃陶器碎片)
44,灯光组,Light group,燈光組,,,🟩,蜘蛛,Spider,蜘蛛,,,,🧱,远景地形生成器,Distant Landscape Generator,遠景地形生成器,,,,,,,,,,,,,,,,👤🟩,金合欢木台阶,acacia_slab,相思木半磚,,,,🟩,烈焰粉,blaze_powder,烈焰粉
45,网格体距离场分辨率,Distance field resolution,網格體距離場分辨率,,,🟩,洞穴蜘蛛,Cave Spider,洞穴蜘蛛,,,,💡,光照探测器,Light Detector,光照感測器,,,,,,,,,,,,,,,,👤🟩,金合欢木台阶 [顶部],acacia_slab_top,相思木半磚 [頂部],,,,🟩,烈焰棒,blaze_rod,烈焰棒 (烈焰桿)
46,启用Nanite,Enable Nanite,啟用Nanite,,,🟥,恶魂,Ghast,地獄幽靈,,,,🔧,粒子高精度碰撞箱,Particle High-Res Collision Box,粒子高精度碰撞箱,,,,,,,,,,,,,,,,👤🟩,金合欢木楼梯,acacia_stairs,相思木樓梯 (相思木階梯),,,,👤🟩,烈焰人刷怪蛋,blaze_spawn_egg,烈焰使者生成蛋 (烈焰使者生怪蛋)
47,渐变动画纹理,Gradient Animated Texture,漸變動畫紋理,,,🟥,快乐恶魂,Happy Ghast,快樂幽靈,,,,✨👪🟩,萤火虫粒子,Firefly Particles,螢火蟲粒子,,,,,,,,,,,,,,,,👤🟩,金合欢木楼梯 [内角],acacia_stairs_inner,相思木樓梯 (相思木階梯) [內角],,,,👤🟩,蓝色收纳袋,blue_bundle,藍色收納袋 (藍色束口袋)
48,投射阴影,Cast shadow,投射陰影,,,🟥,小恶魂,Ghastling,幽靈仔(小幽靈),,,,𝓕,全局力场,Global Force Field,全局力場,,,,,,,,,,,,,,,,👤🟩,金合欢木楼梯 [外角],acacia_stairs_outer,相思木樓梯 (相思木階梯) [外角],,,,👤🟩,蓝色收纳袋 [打开背面],blue_bundle_open_back,藍色收納袋 (藍色束口袋) [打開背面]
49,材质包路径,Texture pack path,材質包路徑,,,🟩,村民,Villager,村民,,,,𝓕🔧,材质遮罩场,Material Mask Field,材質遮罩場,,,,,,,,,,,,,,,,👤🟩,金合欢木活板门 [底部],acacia_trapdoor_bottom,相思木地板門 [底部],,,,👤🟩,蓝色收纳袋 [打开正面],blue_bundle_open_front,藍色收納袋 (藍色束口袋) [打開正面]
50,放置方块,Block,放置方塊,,,🟩👤,村民 [NPC],Villager [NPC],村民 [NPC],,,,𝓕,力场探测器,Force Field Detector,力場探測器,,,,,,,,,,,,,,,,👤🟩,金合欢木活板门 [打开],acacia_trapdoor_open,相思木地板門 [打開],,,,👤🟩,蓝色蜡烛,blue_candle,藍色蠟燭
51,放置物品,Item,放置物品,,,🟥✨,烈焰人,Blaze,烈焰使者,,,,𝓕,动画偏移场,Anim Offset Field,動畫偏移場,,,,,,,,,,,,,,,,👤🟩,金合欢木活板门 [顶部],acacia_trapdoor_top,相思木地板門 [頂部],,,,👤🟩,蓝色染料,blue_dye,藍色染料
52,搜索名称,Search,搜索名稱,,,🟥,凋灵,Wither,凋零,,,,𝓕,角速度旋转场,Angular Rotation Field,角速度旋轉場,,,,,,,,,,,,,,,,👤🟩,墙上的悬挂式金合欢木告示牌,acacia_wall_hanging_sign,牆上的相思木吊牌 (牆上的懸掛式相思木告示牌),,,,🟩,蓝色鸡蛋,blue_egg,藍色雞蛋
